+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & ConcessionBot 
| 
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| 
| Game Time: 00:00:06.1191092
| 
| Result: BetterLisaSimpson vs OboeOboeBeater: 36 - 43
+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & EasyGame 
| 
| BetterLisaSimpson plays V | EasyGame plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays P | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays P | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays P | Draw Match
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays P | Draw Match
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays P | Draw Match
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
